Erreur [2] : Undefined variable $session_id dans le fichier C:\wamp64\www\Figarauto\controller\AuthController.php à la ligne 83
Erreur [2] : Undefined array key "email" dans le fichier C:\wamp64\www\Figarauto\controller\AuthController.php à la ligne 65
Erreur [2] : Undefined array key "password" dans le fichier C:\wamp64\www\Figarauto\controller\AuthController.php à la ligne 66
Erreur [2] : Undefined array key "file_name" dans le fichier C:\wamp64\www\Figarauto\View\dashboard.phtml à la ligne 27
Erreur [2] : Undefined array key "file_name" dans le fichier C:\wamp64\www\Figarauto\View\dashboard.phtml à la ligne 27
Erreur [2] : Undefined array key "file_name" dans le fichier C:\wamp64\www\Figarauto\View\dashboard.phtml à la ligne 27
Erreur [2] : Undefined array key "file_name" dans le fichier C:\wamp64\www\Figarauto\View\dashboard.phtml à la ligne 27
Erreur [2] : Undefined array key "file_name" dans le fichier C:\wamp64\www\Figarauto\View\dashboard.phtml à la ligne 27
Erreur [2] : Array to string conversion dans le fichier C:\wamp64\www\Figarauto\View\dashboard.phtml à la ligne 29
Erreur [2] : Undefined array key "file_name" dans le fichier C:\wamp64\www\Figarauto\View\dashboard.phtml à la ligne 27
Erreur [2] : Undefined array key "file_name" dans le fichier C:\wamp64\www\Figarauto\View\dashboard.phtml à la ligne 27
Erreur [2] : Undefined array key "file_name" dans le fichier C:\wamp64\www\Figarauto\View\dashboard.phtml à la ligne 27
Erreur [2] : Undefined array key "file_name" dans le fichier C:\wamp64\www\Figarauto\View\dashboard.phtml à la ligne 27
